Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 29590.72937012    337.94367258      3.66878420   4091.02471535
 29595.39577830    337.89038783      3.66936276   3995.08160222
 29600.06218649    337.83711989      3.66994132   3897.61644978
 29604.72859468    337.78386874      3.67051988   3798.90395504
 29609.39500287    337.73063437      3.67109844   3699.21981385
 29614.06141106    337.67741678      3.67167700   3598.83912086
 29618.72781925    337.62421596      3.67225556   3498.03482789
 29623.39422743    337.57103189      3.67283412   3397.07626857
 29628.06063562    337.51786459      3.67341269   3296.22775622
 29632.72704381    337.46471402      3.67399125   3195.74726138
 29637.39345200    337.41158020      3.67456981   3095.88517452
 29642.05986019    337.35846310      3.67514837   2996.88315856
 29646.72626838    337.30536273      3.67572693   2898.97309536
 29651.39267656    337.25227906      3.67630549   2802.37612910
 29656.05908475    337.19921211      3.67688405   2707.30180913
 29660.72549294    337.14616185      3.67746261   2613.94733365
 29665.39190113    337.09312828      3.67804117   2522.49689518
 29670.05830932    337.04011139      3.67861974   2433.12112782
 29674.72471751    336.98711118      3.67919830   2345.97665569
 29679.39112569    336.93412763      3.67977686   2261.20574130
 29684.05753388    336.88116074      3.68035542   2178.93603178
 29688.72394207    336.82821051      3.68093398   2099.28040072
 29693.39035026    336.77527691      3.68151254   2022.33688231
 29698.05675845    336.72235995      3.68209110   1948.18869450
 29702.72316664    336.66945961      3.68266966   1876.90434707
 29707.38957482    336.61657590      3.68324822   1808.53783046
 29712.05598301    336.56370880      3.68382678   1743.12888054
 29716.72239120    336.51085830      3.68440535   1680.70331460
 29721.38879939    336.45802439      3.68498391   1621.27343327
 29726.05520758    336.40520707      3.68556247   1564.83848330
 29730.72161577    336.35240634      3.68614103   1511.38517550
 29735.38802395    336.29962217      3.68671959   1460.88825274
 29740.05443214    336.24685457      3.68729815   1413.31110215
 29744.72084033    336.19410353      3.68787671   1368.60640639
 29749.38724852    336.14136903      3.68845527   1326.71682824
 29754.05365671    336.08865108      3.68903383   1287.57572344
 29758.72006490    336.03594966      3.68961240   1251.10787643
 29763.38647308    335.98326476      3.69019096   1217.23025392
 29768.05288127    335.93059638      3.69076952   1185.85277149
 29772.71928946    335.87794452      3.69134808   1156.87906836
 29777.38569765    335.82530915      3.69192664   1130.20728595
 29782.05210584    335.77269028      3.69250520   1105.73084590
 29786.71851403    335.72008789      3.69308376   1083.33922352
 29791.38492221    335.66750199      3.69366232   1062.91871280
 29796.05133040    335.61493255      3.69424088   1044.35317946
 29800.71773859    335.56237958      3.69481945   1027.52479872
 29805.38414678    335.50984307      3.69539801   1012.31477473
 29810.05055497    335.45732300      3.69597657    998.60403866
 29814.71696316    335.40481937      3.69655513    986.27392319
 29819.38337134    335.35233217      3.69713369    975.20681066
 29824.04977953    335.29986140      3.69771225    965.28675308
 29828.71618772    335.24740705      3.69829081    956.40006191
 29833.38259591    335.19496911      3.69886937    948.43586605
 29838.04900410    335.14254756      3.69944793    941.28663647
 29842.71541229    335.09014242      3.70002650    934.84867635
 29847.38182047    335.03775365      3.70060506    929.02257556
 29852.04822866    334.98538127      3.70118362    923.71362869
 29856.71463685    334.93302526      3.70176218    918.83221587
 29861.38104504    334.88068561      3.70234074    914.29414595
 29866.04745323    334.82836231      3.70291930    910.02096164
 29870.71386142    334.77605537      3.70349786    905.94020645
 29875.38026960    334.72376476      3.70407642    901.98565338
 29880.04667779    334.67149049      3.70465498    898.09749550
 29884.71308598    334.61923254      3.70523355    894.22249875
 29889.37949417    334.56699091      3.70581211    890.31411722
 29894.04590236    334.51476559      3.70639067    886.33257159
 29898.71231055    334.46255657      3.70696923    882.24489135
 29903.37871873    334.41036385      3.70754779    878.02492152
 29908.04512692    334.35818741      3.70812635    873.65329496
 29912.71153511    334.30602725      3.70870491    869.11737109
 29917.37794330    334.25388336      3.70928347    864.41114230
 29922.04435149    334.20175574      3.70986203    859.53510928
 29926.71075968    334.14964437      3.71044060    854.49612652
 29931.37716786    334.09754925      3.71101916    849.30721964
 29936.04357605    334.04547038      3.71159772    843.98737579
 29940.70998424    333.99340773      3.71217628    838.56130905
 29945.37639243    333.94136132      3.71275484    833.05920242
 29950.04280062    333.88933112      3.71333340    827.51642806
 29954.70920881    333.83731713      3.71391196    821.97324803
 29959.37561699    333.78531934      3.71449052    816.47449698
 29964.04202518    333.73333775      3.71506908    811.06924932
 29968.70843337    333.68137235      3.71564764    805.81047249
 29973.37484156    333.62942313      3.71622621    800.75466876
 29978.04124975    333.57749008      3.71680477    795.96150763
 29982.70765794    333.52557320      3.71738333    791.49345102
 29987.37406612    333.47367247      3.71796189    787.41537357
 29992.04047431    333.42178790      3.71854045    783.79418034
 29996.70688250    333.36991946      3.71911901    780.69842417
 30001.37329069    333.31806717      3.71969757    778.19792509
 30006.03969888    333.26623100      3.72027613    776.36339414
 30010.70610707    333.21441095      3.72085469    775.26606383
 30015.37251525    333.16260701      3.72143326    774.97732779
 30020.03892344    333.11081918      3.72201182    775.56839179
 30024.70533163    333.05904745      3.72259038    777.10993841
 30029.37173982    333.00729180      3.72316894    779.67180789
 30034.03814801    332.95555224      3.72374750    783.32269703
 30038.70455619    332.90382875      3.72432606    788.12987873
 30043.37096438    332.85212134      3.72490462    794.15894390
 30048.03737257    332.80042998      3.72548318    801.47356818
 30052.70378076    332.74875467      3.72606174    810.13530506
 30057.37018895    332.69709541      3.72664031    820.20340758
 30062.03659714    332.64545219      3.72721887    831.73468004
 30066.70300532    332.59382500      3.72779743    844.78336160
 30071.36941351    332.54221383      3.72837599    859.40104299
 30076.03582170    332.49061867      3.72895455    875.63661773
 30080.70222989    332.43903953      3.72953311    893.53626886
 30085.36863808    332.38747638      3.73011167    913.14349212
 30090.03504627    332.33592923      3.73069023    934.49915612
 30094.70145445    332.28439806      3.73126879    957.64160006
 30099.36786264    332.23288287      3.73184736    982.60676883
 30104.03427083    332.18138365      3.73242592   1009.42838566
 30108.70067902    332.12990040      3.73300448   1038.13816155
 30113.36708721    332.07843310      3.73358304   1068.76604087
 30118.03349540    332.02698175      3.73416160   1101.34048180
 30122.69990358    331.97554634      3.73474016   1135.88877026
 30127.36631177    331.92412686      3.73531872   1172.43736536
 30132.03271996    331.87272331      3.73589728   1211.01227407
 30136.69912815    331.82133568      3.73647584   1251.63945256
 30141.36553634    331.76996396      3.73705441   1294.34523095
 30146.03194453    331.71860814      3.73763297   1339.15675827
 30150.69835271    331.66726822      3.73821153   1386.10246353
 30155.36476090    331.61594419      3.73879009   1435.21252883
 30160.03116909    331.56463604      3.73936865   1486.51936979
 30164.69757728    331.51334377      3.73994721   1540.05811831
