Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 33230.52775700    300.92810535      4.12006185   1372.95288511
 33235.19416519    300.88585335      4.12064041   1399.14235759
 33239.86057338    300.84361321      4.12121897   1425.83190071
 33244.52698157    300.80138494      4.12179753   1453.02228085
 33249.19338976    300.75916851      4.12237609   1480.71328130
 33253.85979795    300.71696394      4.12295465   1508.90359209
 33258.52620613    300.67477120      4.12353321   1537.59070266
 33263.19261432    300.63259031      4.12411177   1566.77079838
 33267.85902251    300.59042125      4.12469033   1596.43866196
 33272.52543070    300.54826401      4.12526890   1626.58758058
 33277.19183889    300.50611861      4.12584746   1657.20925988
 33281.85824708    300.46398501      4.12642602   1688.29374529
 33286.52465526    300.42186324      4.12700458   1719.82935187
 33291.19106345    300.37975327      4.12758314   1751.80260307
 33295.85747164    300.33765510      4.12816170   1784.19817912
 33300.52387983    300.29556873      4.12874026   1816.99887568
 33305.19028802    300.25349416      4.12931882   1850.18557296
 33309.85669621    300.21143137      4.12989738   1883.73721586
 33314.52310439    300.16938037      4.13047595   1917.63080530
 33319.18951258    300.12734115      4.13105451   1951.84140077
 33323.85592077    300.08531370      4.13163307   1986.34213434
 33328.52232896    300.04329802      4.13221163   2021.10423590
 33333.18873715    300.00129410      4.13279019   2056.09706964
 33337.85514534    299.95930194      4.13336875   2091.28818129
 33342.52155352    299.91732154      4.13394731   2126.64335613
 33347.18796171    299.87535288      4.13452587   2162.12668705
 33351.85436990    299.83339597      4.13510443   2197.70065233
 33356.52077809    299.79145080      4.13568300   2233.32620266
 33361.18718628    299.74951736      4.13626156   2268.96285665
 33365.85359447    299.70759565      4.13684012   2304.56880425
 33370.52000265    299.66568566      4.13741868   2340.10101745
 33375.18641084    299.62378740      4.13799724   2375.51536745
 33379.85281903    299.58190085      4.13857580   2410.76674759
 33384.51922722    299.54002601      4.13915436   2445.80920133
 33389.18563541    299.49816287      4.13973292   2480.59605444
 33393.85204359    299.45631144      4.14031148   2515.08005069
 33398.51845178    299.41447169      4.14089005   2549.21349033
 33403.18485997    299.37264364      4.14146861   2582.94837051
 33407.85126816    299.33082728      4.14204717   2616.23652706
 33412.51767635    299.28902259      4.14262573   2649.02977691
 33417.18408454    299.24722958      4.14320429   2681.28006046
 33421.85049272    299.20544824      4.14378285   2712.93958335
 33426.51690091    299.16367856      4.14436141   2743.96095701
 33431.18330910    299.12192055      4.14493997   2774.29733749
 33435.84971729    299.08017419      4.14551853   2803.90256214
 33440.51612548    299.03843948      4.14609710   2832.73128352
 33445.18253367    298.99671642      4.14667566   2860.73910037
 33449.84894185    298.95500500      4.14725422   2887.88268501
 33454.51535004    298.91330521      4.14783278   2914.11990712
 33459.18175823    298.87161706      4.14841134   2939.40995339
 33463.84816642    298.82994053      4.14898990   2963.71344286
 33468.51457461    298.78827563      4.14956846   2986.99253769
 33473.18098280    298.74662234      4.15014702   3009.21104924
 33477.84739098    298.70498066      4.15072558   3030.33453910
 33482.51379917    298.66335059      4.15130415   3050.33041499
 33487.18020736    298.62173213      4.15188271   3069.16802143
 33491.84661555    298.58012526      4.15246127   3086.81872488
 33496.51302374    298.53852998      4.15303983   3103.25599323
 33501.17943193    298.49694629      4.15361839   3118.45546962
 33505.84584011    298.45537418      4.15419695   3132.39504024
 33510.51224830    298.41381366      4.15477551   3145.05489611
 33515.17865649    298.37226470      4.15535407   3156.41758856
 33519.84506468    298.33072731      4.15593263   3166.46807834
 33524.51147287    298.28920149      4.15651119   3175.19377817
 33529.17788106    298.24768723      4.15708976   3182.58458847
 33533.84428924    298.20618451      4.15766832   3188.63292624
 33538.51069743    298.16469335      4.15824688   3193.33374674
 33543.17710562    298.12321373      4.15882544   3196.68455803
 33547.84351381    298.08174566      4.15940400   3198.68542789
 33552.50992200    298.04028911      4.15998256   3199.33898325
 33557.17633019    297.99884410      4.16056112   3198.65040183
 33561.84273837    297.95741061      4.16113968   3196.62739590
 33566.50914656    297.91598864      4.16171824   3193.28018797
 33571.17555475    297.87457819      4.16229681   3188.62147854
 33575.84196294    297.83317924      4.16287537   3182.66640560
 33580.50837113    297.79179181      4.16345393   3175.43249605
 33585.17477932    297.75041587      4.16403249   3166.93960900
 33589.84118750    297.70905143      4.16461105   3157.20987097
 33594.50759569    297.66769848      4.16518961   3146.26760324
 33599.17400388    297.62635702      4.16576817   3134.13924137
 33603.84041207    297.58502704      4.16634673   3120.85324721
 33608.50682026    297.54370853      4.16692529   3106.44001359
 33613.17322845    297.50240150      4.16750386   3090.93176209
 33617.83963663    297.46110594      4.16808242   3074.36243427
 33622.50604482    297.41982184      4.16866098   3056.76757667
 33627.17245301    297.37854919      4.16923954   3038.18422026
 33631.83886120    297.33728800      4.16981810   3018.65075470
 33636.50526939    297.29603826      4.17039666   2998.20679808
 33641.17167758    297.25479996      4.17097522   2976.89306280
 33645.83808576    297.21357311      4.17155378   2954.75121810
 33650.50449395    297.17235768      4.17213234   2931.82375011
 33655.17090214    297.13115368      4.17271091   2908.15382000
 33659.83731033    297.08996111      4.17328947   2883.78512103
 33664.50371852    297.04877996      4.17386803   2858.76173529
 33669.17012671    297.00761022      4.17444659   2833.12799074
 33673.83653489    296.96645190      4.17502515   2806.92831950
 33678.50294308    296.92530498      4.17560371   2780.20711791
 33683.16935127    296.88416946      4.17618227   2753.00860930
 33687.83575946    296.84304534      4.17676083   2725.37671007
 33692.50216765    296.80193260      4.17733939   2697.35489969
 33697.16857584    296.76083126      4.17791796   2668.98609542
 33701.83498402    296.71974129      4.17849652   2640.31253216
 33706.50139221    296.67866271      4.17907508   2611.37564820
 33711.16780040    296.63759549      4.17965364   2582.21597708
 33715.83420859    296.59653965      4.18023220   2552.87304630
 33720.50061678    296.55549516      4.18081076   2523.38528302
 33725.16702497    296.51446204      4.18138932   2493.78992724
 33729.83343315    296.47344027      4.18196788   2464.12295259
 33734.49984134    296.43242985      4.18254644   2434.41899504
 33739.16624953    296.39143077      4.18312501   2404.71128951
 33743.83265772    296.35044303      4.18370357   2375.03161466
 33748.49906591    296.30946662      4.18428213   2345.41024566
 33753.16547410    296.26850155      4.18486069   2315.87591501
 33757.83188228    296.22754780      4.18543925   2286.45578124
 33762.49829047    296.18660537      4.18601781   2257.17540544
 33767.16469866    296.14567426      4.18659637   2228.05873526
 33771.83110685    296.10475446      4.18717493   2199.12809627
 33776.49751504    296.06384597      4.18775349   2170.40419031
 33781.16392323    296.02294877      4.18833205   2141.90610052
 33785.83033141    295.98206288      4.18891062   2113.65130281
 33790.49673960    295.94118828      4.18948918   2085.65568318
 33795.16314779    295.90032496      4.19006774   2057.93356080
 33799.82955598    295.85947293      4.19064630   2030.49771612
 33804.49596417    295.81863218      4.19122486   2003.35942392
 33809.16237236    295.77780270      4.19180342   1976.52849064
 33813.82878054    295.73698449      4.19238198   1950.01329577
 33818.49518873    295.69617754      4.19296054   1923.82083677
 33823.16159692    295.65538186      4.19353910   1897.95677717
 33827.82800511    295.61459743      4.19411767   1872.42549751
 33832.49441330    295.57382425      4.19469623   1847.23014874
 33837.16082149    295.53306231      4.19527479   1822.37270762
 33841.82722967    295.49231162      4.19585335   1797.85403400
 33846.49363786    295.45157217      4.19643191   1773.67392945
 33851.16004605    295.41084394      4.19701047   1749.83119716
 33855.82645424    295.37012694      4.19758903   1726.32370264
 33860.49286243    295.32942117      4.19816759   1703.14843509
 33865.15927061    295.28872661      4.19874615   1680.30156919
 33869.82567880    295.24804327      4.19932472   1657.77852712
 33874.49208699    295.20737114      4.19990328   1635.57404048
 33879.15849518    295.16671021      4.20048184   1613.68221214
 33883.82490337    295.12606048      4.20106040   1592.09657767
 33888.49131156    295.08542194      4.20163896   1570.81016630
 33893.15771974    295.04479459      4.20221752   1549.81556118
 33897.82412793    295.00417843      4.20279608   1529.10495896
 33902.49053612    294.96357346      4.20337464   1508.67022831
 33907.15694431    294.92297965      4.20395320   1488.50296751
 33911.82335250    294.88239702      4.20453177   1468.59456084
 33916.48976069    294.84182556      4.20511033   1448.93623365
 33921.15616887    294.80126526      4.20568889   1429.51910611
 33925.82257706    294.76071611      4.20626745   1410.33424538
 33930.48898525    294.72017812      4.20684601   1391.37271612
 33935.15539344    294.67965128      4.20742457   1372.62562938
 33939.82180163    294.63913559      4.20800313   1354.08418941
 33944.48820982    294.59863103      4.20858169   1335.73973871
 33949.15461800    294.55813761      4.20916025   1317.58380078
 33953.82102619    294.51765531      4.20973882   1299.60812079
 33958.48743438    294.47718415      4.21031738   1281.80470379
 33963.15384257    294.43672410      4.21089594   1264.16585057
 33967.82025076    294.39627517      4.21147450   1246.68419094
 33972.48665895    294.35583736      4.21205306   1229.35271429
 33977.15306713    294.31541065      4.21263162   1212.16479748
 33981.81947532    294.27499504      4.21321018   1195.11422987
 33986.48588351    294.23459053      4.21378874   1178.19523544
 33991.15229170    294.19419712      4.21436730   1161.40249189
 33995.81869989    294.15381479      4.21494586   1144.73114686
 34000.48510808    294.11344355      4.21552443   1128.17683093
 34005.15151626    294.07308339      4.21610299   1111.73566767
 34009.81792445    294.03273431      4.21668155   1095.40428058
 34014.48433264    293.99239629      4.21726011   1079.17979698
 34019.15074083    293.95206934      4.21783867   1063.05984886
 34023.81714902    293.91175346      4.21841723   1047.04257084
 34028.48355721    293.87144863      4.21899579   1031.12659514
 34033.14996539    293.83115485      4.21957435   1015.31104382
 34037.81637358    293.79087212      4.22015291    999.59551830
 34042.48278177    293.75060044      4.22073148    983.98008630
 34047.14918996    293.71033979      4.22131004    968.46526642
 34051.81559815    293.67009018      4.22188860    953.05201034
 34056.48200634    293.62985160      4.22246716    937.74168303
 34061.14841452    293.58962405      4.22304572    922.53604098
 34065.81482271    293.54940751      4.22362428    907.43720874
 34070.48123090    293.50920199      4.22420284    892.44765392
 34075.14763909    293.46900749      4.22478140    877.57016089
 34079.81404728    293.42882399      4.22535996    862.80780339
 34084.48045547    293.38865149      4.22593853    848.16391625
 34089.14686365    293.34848999      4.22651709    833.64206642
 34093.81327184    293.30833949      4.22709565    819.24602361
 34098.47968003    293.26819997      4.22767421    804.97973066
 34103.14608822    293.22807144      4.22825277    790.84727386
 34107.81249641    293.18795389      4.22883133    776.85285347
 34112.47890460    293.14784732      4.22940989    763.00075461
 34117.14531278    293.10775172      4.22998845    749.29531869
 34121.81172097    293.06766708      4.23056701    735.74091550
 34126.47812916    293.02759341      4.23114558    722.34191629
 34131.14453735    292.98753069      4.23172414    709.10266774
 34135.81094554    292.94747893      4.23230270    696.02746720
 34140.47735373    292.90743811      4.23288126    683.12053911
 34145.14376191    292.86740824      4.23345982    670.38601284
 34149.81017010    292.82738931      4.23403838    657.82790195
 34154.47657829    292.78738132      4.23461694    645.45008504
 34159.14298648    292.74738425      4.23519550    633.25628816
 34163.80939467    292.70739811      4.23577406    621.25006881
 34168.47580286    292.66742290      4.23635263    609.43480167
 34173.14221104    292.62745860      4.23693119    597.81366601
 34177.80861923    292.58750521      4.23750975    586.38963473
 34182.47502742    292.54756274      4.23808831    575.16546511
 34187.14143561    292.50763116      4.23866687    564.14369124
 34191.80784380    292.46771049      4.23924543    553.32661810
 34196.47425199    292.42780071      4.23982399    542.71631713
 34201.14066017    292.38790182      4.24040255    532.31462350
 34205.80706836    292.34801382      4.24098111    522.12313477
 34210.47347655    292.30813670      4.24155968    512.14321105
 34215.13988474    292.26827046      4.24213824    502.37597651
 34219.80629293    292.22841509      4.24271680    492.82232221
 34224.47270112    292.18857059      4.24329536    483.48291019
 34229.13910930    292.14873695      4.24387392    474.35817866
 34233.80551749    292.10891417      4.24445248    465.44834834
 34238.47192568    292.06910225      4.24503104    456.75342978
 34243.13833387    292.02930117      4.24560960    448.27323154
 34247.80474206    291.98951095      4.24618816    440.00736933
 34252.47115025    291.94973156      4.24676672    431.95527573
 34257.13755843    291.90996301      4.24734529    424.11621077
 34261.80396662    291.87020530      4.24792385    416.48927288
 34266.47037481    291.83045841      4.24850241    409.07341050
 34271.13678300    291.79072235      4.24908097    401.86743396
 34275.80319119    291.75099710      4.24965953    394.87002780
 34280.46959938    291.71128268      4.25023809    388.07976317
 34285.13600756    291.67157906      4.25081665    381.49511053
 34289.80241575    291.63188625      4.25139521    375.11445226
 34294.46882394    291.59220424      4.25197377    368.93609532
 34299.13523213    291.55253303      4.25255234    362.95828381
 34303.80164032    291.51287261      4.25313090    357.17921126
 34308.46804851    291.47322298      4.25370946    351.59703271
 34313.13445669    291.43358413      4.25428802    346.20987639
 34317.80086488    291.39395607      4.25486658    341.01585502
 34322.46727307    291.35433878      4.25544514    336.01307655
 34327.13368126    291.31473226      4.25602370    331.19965435
 34331.80008945    291.27513651      4.25660226    326.57371676
 34336.46649763    291.23555152      4.25718082    322.13341597
 34341.13290582    291.19597729      4.25775939    317.87693609
 34345.79931401    291.15641381      4.25833795    313.80250047
 34350.46572220    291.11686108      4.25891651    309.90837812
 34355.13213039    291.07731909      4.25949507    306.19288933
 34359.79853858    291.03778785      4.26007363    302.65441027
 34364.46494676    290.99826734      4.26065219    299.29137678
 34369.13135495    290.95875756      4.26123075    296.10228710
 34373.79776314    290.91925851      4.26180931    293.08570379
 34378.46417133    290.87977019      4.26238787    290.24025453
 34383.13057952    290.84029258      4.26296644    287.56463222
 34387.79698771    290.80082569      4.26354500    285.05759398
 34392.46339589    290.76136950      4.26412356    282.71795941
 34397.12980408    290.72192403      4.26470212    280.54460798
 34401.79621227    290.68248925      4.26528068    278.53647569
 34406.46262046    290.64306517      4.26585924    276.69255099
 34411.12902865    290.60365178      4.26643780    275.01187006
 34415.79543684    290.56424908      4.26701636    273.49351158
 34420.46184502    290.52485706      4.26759492    272.13659097
 34425.12825321    290.48547573      4.26817349    270.94025430
 34429.79466140    290.44610506      4.26875205    269.90367184
 34434.46106959    290.40674507      4.26933061    269.02603149
 34439.12747778    290.36739575      4.26990917    268.30653207
 34443.79388597    290.32805709      4.27048773    267.74437664
 34448.46029415    290.28872908      4.27106629    267.33876592
 34453.12670234    290.24941173      4.27164485    267.08889192
 34457.79311053    290.21010503      4.27222341    266.99393193
 34462.45951872    290.17080897      4.27280197    267.05304280
 34467.12592691    290.13152355      4.27338053    267.26535584
 34471.79233510    290.09224877      4.27395910    267.62997220
 34476.45874328    290.05298462      4.27453766    268.14595896
 34481.12515147    290.01373110      4.27511622    268.81234584
 34485.79155966    289.97448820      4.27569478    269.62812280
 34490.45796785    289.93525592      4.27627334    270.59223833
 34495.12437604    289.89603425      4.27685190    271.70359863
 34499.79078423    289.85682319      4.27743046    272.96106766
 34504.45719241    289.81762274      4.27800902    274.36346802
 34509.12360060    289.77843290      4.27858758    275.90958267
 34513.79000879    289.73925364      4.27916615    277.59815755
 34518.45641698    289.70008499      4.27974471    279.42790494
 34523.12282517    289.66092692      4.28032327    281.39750758
 34527.78923336    289.62177943      4.28090183    283.50562347
 34532.45564154    289.58264253      4.28148039    285.75089138
 34537.12204973    289.54351620      4.28205895    288.13193675
 34541.78845792    289.50440044      4.28263751    290.64737818
 34546.45486611    289.46529525      4.28321607    293.29583414
 34551.12127430    289.42620062      4.28379463    296.07593005
 34555.78768249    289.38711655      4.28437320    298.98630537
 34560.45409067    289.34804304      4.28495176    302.02562074
 34565.12049886    289.30898007      4.28553032    305.19256501
 34569.78690705    289.26992765      4.28610888    308.48586204
 34574.45331524    289.23088578      4.28668744    311.90427706
 34579.11972343    289.19185444      4.28726600    315.44662267
 34583.78613162    289.15283363      4.28784456    319.11176415
 34588.45253980    289.11382335      4.28842312    322.89862408
 34593.11894799    289.07482360      4.28900168    326.80618614
 34597.78535618    289.03583436      4.28958025    330.83349805
 34602.45176437    288.99685565      4.29015881    334.97967344
 34607.11817256    288.95788744      4.29073737    339.24389272
 34611.78458075    288.91892974      4.29131593    343.62540277
 34616.45098893    288.87998255      4.29189449    348.12351547
 34621.11739712    288.84104585      4.29247305    352.73760505
 34625.78380531    288.80211965      4.29305161    357.46710411
 34630.45021350    288.76320394      4.29363017    362.31149856
 34635.11662169    288.72429872      4.29420873    367.27032116
 34639.78302988    288.68540397      4.29478730    372.34314397
 34644.44943806    288.64651971      4.29536586    377.52956964
 34649.11584625    288.60764592      4.29594442    382.82922147
 34653.78225444    288.56878260      4.29652298    388.24173263
 34658.44866263    288.52992974      4.29710154    393.76673422
 34663.11507082    288.49108735      4.29768010    399.40384256
 34667.78147901    288.45225541      4.29825866    405.15264573
 34672.44788719    288.41343392      4.29883722    411.01268943
 34677.11429538    288.37462288      4.29941578    416.98346224
 34681.78070357    288.33582229      4.29999435    423.06438061
 34686.44711176    288.29703213      4.30057291    429.25477342
 34691.11351995    288.25825241      4.30115147    435.55386652
 34695.77992814    288.21948313      4.30173003    441.96076717
 34700.44633632    288.18072427      4.30230859    448.47444867
 34705.11274451    288.14197583      4.30288715    455.09373516
 34709.77915270    288.10323781      4.30346571    461.81728694
 34714.44556089    288.06451021      4.30404427    468.64358615
 34719.11196908    288.02579301      4.30462283    475.57092319
 34723.77837727    287.98708622      4.30520139    482.59738384
 34728.44478545    287.94838984      4.30577996    489.72083722
 34733.11119364    287.90970385      4.30635852    496.93892469
 34737.77760183    287.87102826      4.30693708    504.24904980
 34742.44401002    287.83236305      4.30751564    511.64836926
 34747.11041821    287.79370823      4.30809420    519.13378516
 34751.77682640    287.75506379      4.30867276    526.70193830
 34756.44323458    287.71642973      4.30925132    534.34920282
 34761.10964277    287.67780604      4.30982988    542.07168207
 34765.77605096    287.63919272      4.31040844    549.86520580
 34770.44245915    287.60058976      4.31098701    557.72532854
 34775.10886734    287.56199717      4.31156557    565.64732938
 34779.77527553    287.52341493      4.31214413    573.62621294
 34784.44168371    287.48484304      4.31272269    581.65671157
 34789.10809190    287.44628150      4.31330125    589.73328879
 34793.77450009    287.40773030      4.31387981    597.85014391
 34798.44090828    287.36918944      4.31445837    606.00121772
 34803.10731647    287.33065892      4.31503693    614.18019929
 34807.77372465    287.29213872      4.31561549    622.38053377
 34812.44013284    287.25362886      4.31619406    630.59543119
 34817.10654103    287.21512932      4.31677262    638.81787610
 34821.77294922    287.17664009      4.31735118    647.04063812
 34826.43935741    287.13816118      4.31792974    655.25628330
 34831.10576560    287.09969258      4.31850830    663.45718608
 34835.77217378    287.06123429      4.31908686    671.63554214
 34840.43858197    287.02278630      4.31966542    679.78338168
 34845.10499016    286.98434860      4.32024398    687.89258347
 34849.77139835    286.94592120      4.32082254    695.95488926
 34854.43780654    286.90750409      4.32140111    703.96191883
 34859.10421473    286.86909727      4.32197967    711.90518545
 34863.77062291    286.83070072      4.32255823    719.77611174
 34868.43703110    286.79231446      4.32313679    727.56604601
 34873.10343929    286.75393846      4.32371535    735.26627890
 34877.76984748    286.71557274      4.32429391    742.86806038
 34882.43625567    286.67721728      4.32487247    750.36261717
 34887.10266386    286.63887208      4.32545103    757.74117033
 34891.76907204    286.60053713      4.32602959    764.99495325
 34896.43548023    286.56221244      4.32660816    772.11522987
 34901.10188842    286.52389800      4.32718672    779.09331315
 34905.76829661    286.48559380      4.32776528    785.92058381
 34910.43470480    286.44729984      4.32834384    792.58850922
 34915.10111299    286.40901612      4.32892240    799.08866253
 34919.76752117    286.37074263      4.32950096    805.41274191
 34924.43392936    286.33247937      4.33007952    811.55258993
 34929.10033755    286.29422633      4.33065808    817.50021301
 34933.76674574    286.25598351      4.33123664    823.24780091
 34938.43315393    286.21775091      4.33181520    828.78774621
 34943.09956212    286.17952852      4.33239377    834.11266365
 34947.76597030    286.14131633      4.33297233    839.21540944
 34952.43237849    286.10311435      4.33355089    844.08910028
 34957.09878668    286.06492257      4.33412945    848.72713209
 34961.76519487    286.02674098      4.33470801    853.12319848
 34966.43160306    285.98856958      4.33528657    857.27130862
 34971.09801125    285.95040837      4.33586513    861.16580471
 34975.76441943    285.91225735      4.33644369    864.80137875
 34980.43082762    285.87411650      4.33702225    868.17308856
 34985.09723581    285.83598583      4.33760082    871.27637309
 34989.76364400    285.79786532      4.33817938    874.10706666
 34994.43005219    285.75975499      4.33875794    876.66141233
 34999.09646038    285.72165481      4.33933650    878.93607407
 35003.76286856    285.68356480      4.33991506    880.92814775
 35008.42927675    285.64548494      4.34049362    882.63517088
 35013.09568494    285.60741522      4.34107218    884.05513094
 35017.76209313    285.56935566      4.34165074    885.18647232
 35022.42850132    285.53130624      4.34222930    886.02810171
 35027.09490951    285.49326695      4.34280787    886.57939197
 35031.76131769    285.45523780      4.34338643    886.84018435
 35036.42772588    285.41721878      4.34396499    886.81078915
 35041.09413407    285.37920989      4.34454355    886.49198462
 35045.76054226    285.34121112      4.34512211    885.88501423
 35050.42695045    285.30322246      4.34570067    884.99158232
 35055.09335864    285.26524392      4.34627923    883.81384796
 35059.75976682    285.22727549      4.34685779    882.35441729
 35064.42617501    285.18931716      4.34743635    880.61633421
 35069.09258320    285.15136894      4.34801492    878.60306955
 35073.75899139    285.11343081      4.34859348    876.31850866
 35078.42539958    285.07550278      4.34917204    873.76693776
 35083.09180777    285.03758484      4.34975060    870.95302878
 35087.75821595    284.99967698      4.35032916    867.88182307
 35092.42462414    284.96177921      4.35090772    864.55871389
 35097.09103233    284.92389151      4.35148628    860.98942799
 35101.75744052    284.88601388      4.35206484    857.18000610
 35106.42384871    284.84814633      4.35264340    853.13678275
 35111.09025690    284.81028884      4.35322197    848.86636534
 35115.75666508    284.77244141      4.35380053    844.37561268
 35120.42307327    284.73460404      4.35437909    839.67161305
 35125.08948146    284.69677673      4.35495765    834.76166196
 35129.75588965    284.65895946      4.35553621    829.65323973
 35134.42229784    284.62115224      4.35611477    824.35398899
 35139.08870603    284.58335506      4.35669333    818.87169214
 35143.75511421    284.54556791      4.35727189    813.21424903
 35148.42152240    284.50779080      4.35785045    807.38965487
 35153.08793059    284.47002372      4.35842902    801.40597839
 35157.75433878    284.43226667      4.35900758    795.27134057
 35162.42074697    284.39451964      4.35958614    788.99389370
 35167.08715516    284.35678262      4.36016470    782.58180116
 35171.75356334    284.31905562      4.36074326    776.04321774
 35176.41997153    284.28133863      4.36132182    769.38627069
 35181.08637972    284.24363164      4.36190038    762.61904150
 35185.75278791    284.20593465      4.36247894    755.74954848
 35190.41919610    284.16824767      4.36305750    748.78573008
 35195.08560429    284.13057067      4.36363606    741.73542910
 35199.75201247    284.09290367      4.36421463    734.60637774
 35204.41842066    284.05524665      4.36479319    727.40618346
 35209.08482885    284.01759961      4.36537175    720.14231576
 35213.75123704    283.97996255      4.36595031    712.82209375
 35218.41764523    283.94233547      4.36652887    705.45267466
 35223.08405342    283.90471835      4.36710743    698.04104312
 35227.75046160    283.86711120      4.36768599    690.59400130
 35232.41686979    283.82951401      4.36826455    683.11815986
 35237.08327798    283.79192678      4.36884311    675.61992977
 35241.74968617    283.75434950      4.36942168    668.10551480
 35246.41609436    283.71678218      4.37000024    660.58090487
 35251.08250255    283.67922480      4.37057880    653.05187015
 35255.74891073    283.64167736      4.37115736    645.52395586
 35260.41531892    283.60413986      4.37173592    638.00247781
 35265.08172711    283.56661229      4.37231448    630.49251867
 35269.74813530    283.52909466      4.37289304    622.99892492
 35274.41454349    283.49158695      4.37347160    615.52630445
 35279.08095168    283.45408916      4.37405016    608.07902490
 35283.74735986    283.41660129      4.37462873    600.66121262
 35288.41376805    283.37912334      4.37520729    593.27675230
 35293.08017624    283.34165529      4.37578585    585.92928719
 35297.74658443    283.30419716      4.37636441    578.62222010
 35302.41299262    283.26674892      4.37694297    571.35871484
 35307.07940080    283.22931059      4.37752153    564.14169844
 35311.74580899    283.19188215      4.37810009    556.97386393
 35316.41221718    283.15446360      4.37867865    549.85767370
 35321.07862537    283.11705494      4.37925721    542.79536346
 35325.74503356    283.07965616      4.37983578    535.78894686
 35330.41144175    283.04226726      4.38041434    528.84022058
 35335.07784993    283.00488823      4.38099290    521.95077002
 35339.74425812    282.96751908      4.38157146    515.12197551
 35344.41066631    282.93015979      4.38215002    508.35501904
 35349.07707450    282.89281037      4.38272858    501.65089150
 35353.74348269    282.85547081      4.38330714    495.01040028
 35358.40989088    282.81814110      4.38388570    488.43417744
 35363.07629906    282.78082124      4.38446426    481.92268815
 35367.74270725    282.74351124      4.38504283    475.47623952
 35372.40911544    282.70621107      4.38562139    469.09498977
 35377.07552363    282.66892075      4.38619995    462.77895766
 35381.74193182    282.63164026      4.38677851    456.52803207
 35386.40834001    282.59436961      4.38735707    450.34198190
 35391.07474819    282.55710878      4.38793563    444.22046592
 35395.74115638    282.51985778      4.38851419    438.16304287
 35400.40756457    282.48261660      4.38909275    432.16918143
 35405.07397276    282.44538524      4.38967131    426.23827027
 35409.74038095    282.40816369      4.39024987    420.36962796
 35414.40678914    282.37095194      4.39082844    414.56251277
 35419.07319732    282.33375001      4.39140700    408.81613229
 35423.73960551    282.29655787      4.39198556    403.12965282
 35428.40601370    282.25937553      4.39256412    397.50220849
 35433.07242189    282.22220299      4.39314268    391.93291002
 35437.73883008    282.18504023      4.39372124    386.42085322
 35442.40523827    282.14788727      4.39429980    380.96512696
 35447.07164645    282.11074408      4.39487836    375.56482084
 35451.73805464    282.07361067      4.39545692    370.21903235
 35456.40446283    282.03648703      4.39603549    364.92687351
 35461.07087102    281.99937317      4.39661405    359.68747709
 35465.73727921    281.96226907      4.39719261    354.50000225
 35470.40368740    281.92517474      4.39777117    349.36363970
 35475.07009558    281.88809016      4.39834973    344.27761626
 35479.73650377    281.85101534      4.39892829    339.24119898
 35484.40291196    281.81395027      4.39950685    334.25369862
 35489.06932015    281.77689495      4.40008541    329.31447268
 35493.73572834    281.73984937      4.40066397    324.42292790
 35498.40213653    281.70281353      4.40124254    319.57852217
 35503.06854471    281.66578742      4.40182110    314.78076609
 35507.73495290    281.62877105      4.40239966    310.02922397
 35512.40136109    281.59176441      4.40297822    305.32351436
 35517.06776928    281.55476749      4.40355678    300.66331025
 35521.73417747    281.51778029      4.40413534    296.04833879
 35526.40058566    281.48080280      4.40471390    291.47838067
 35531.06699384    281.44383503      4.40529246    286.95326915
 35535.73340203    281.40687697      4.40587102    282.47288881
 35540.39981022    281.36992862      4.40644959    278.03717395
 35545.06621841    281.33298996      4.40702815    273.64610678
 35549.73262660    281.29606100      4.40760671    269.29971540
 35554.39903479    281.25914174      4.40818527    264.99807153
 35559.06544297    281.22223217      4.40876383    260.74128811
 35563.73185116    281.18533228      4.40934239    256.52951673
 35568.39825935    281.14844207      4.40992095    252.36294497
 35573.06466754    281.11156154      4.41049951    248.24179360
 35577.73107573    281.07469069      4.41107807    244.16631378
 35582.39748392    281.03782951      4.41165664    240.13678413
 35587.06389210    281.00097799      4.41223520    236.15350780
 35591.73030029    280.96413614      4.41281376    232.21680956
 35596.39670848    280.92730395      4.41339232    228.32703286
 35601.06311667    280.89048141      4.41397088    224.48453690
 35605.72952486    280.85366853      4.41454944    220.68969374
 35610.39593305    280.81686529      4.41512800    216.94288549
 35615.06234123    280.78007169      4.41570656    213.24450152
 35619.72874942    280.74328774      4.41628512    209.59493575
 35624.39515761    280.70651343      4.41686369    205.99458402
 35629.06156580    280.66974874      4.41744225    202.44384153
 35633.72797399    280.63299369      4.41802081    198.94310044
 35638.39438218    280.59624826      4.41859937    195.49274744
 35643.06079036    280.55951245      4.41917793    192.09316159
 35647.72719855    280.52278626      4.41975649    188.74471216
 35652.39360674    280.48606968      4.42033505    185.44775660
 35657.06001493    280.44936272      4.42091361    182.20263873
 35661.72642312    280.41266536      4.42149217    179.00968693
 35666.39283131    280.37597760      4.42207073    175.86921253
 35671.05923949    280.33929944      4.42264930    172.78150840
 35675.72564768    280.30263088      4.42322786    169.74684753
 35680.39205587    280.26597191      4.42380642    166.76548190
 35685.05846406    280.22932252      4.42438498    163.83764142
 35689.72487225    280.19268272      4.42496354    160.96353303
 35694.39128044    280.15605250      4.42554210    158.14333998
