Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 21389.55839745    467.51783343      2.65196855      0.00834076
 21394.77554072    467.40382861      2.65261539      0.00842391
 21399.99268399    467.28987938      2.65326223      0.00850665
 21405.20982726    467.17598569      2.65390908      0.00858892
 21410.42697053    467.06214751      2.65455592      0.00867067
 21415.64411381    466.94836480      2.65520277      0.00875185
 21420.86125708    466.83463751      2.65584961      0.00883240
 21426.07840035    466.72096560      2.65649645      0.00891227
 21431.29554362    466.60734904      2.65714330      0.00899140
 21436.51268689    466.49378778      2.65779014      0.00906972
 21441.72983017    466.38028178      2.65843698      0.00914719
 21446.94697344    466.26683100      2.65908383      0.00922374
 21452.16411671    466.15343541      2.65973067      0.00929931
 21457.38125998    466.04009496      2.66037751      0.00937385
 21462.59840325    465.92680961      2.66102436      0.00944729
 21467.81554653    465.81357932      2.66167120      0.00951959
 21473.03268980    465.70040406      2.66231805      0.00959067
 21478.24983307    465.58728377      2.66296489      0.00966048
 21483.46697634    465.47421843      2.66361173      0.00972897
 21488.68411961    465.36120799      2.66425858      0.00979607
 21493.90126289    465.24825241      2.66490542      0.00986174
 21499.11840616    465.13535165      2.66555226      0.00992591
 21504.33554943    465.02250567      2.66619911      0.00998853
 21509.55269270    464.90971444      2.66684595      0.01004956
 21514.76983597    464.79697790      2.66749279      0.01010894
 21519.98697925    464.68429603      2.66813964      0.01016663
 21525.20412252    464.57166878      2.66878648      0.01022257
 21530.42126579    464.45909611      2.66943333      0.01027673
 21535.63840906    464.34657799      2.67008017      0.01032906
 21540.85555233    464.23411436      2.67072701      0.01037953
 21546.07269560    464.12170521      2.67137386      0.01042809
 21551.28983888    464.00935047      2.67202070      0.01047472
 21556.50698215    463.89705012      2.67266754      0.01051939
 21561.72412542    463.78480412      2.67331439      0.01056206
 21566.94126869    463.67261242      2.67396123      0.01060272
 21572.15841196    463.56047499      2.67460807      0.01064134
 21577.37555524    463.44839178      2.67525492      0.01067791
 21582.59269851    463.33636277      2.67590176      0.01071242
 21587.80984178    463.22438790      2.67654861      0.01074485
 21593.02698505    463.11246714      2.67719545      0.01077520
 21598.24412832    463.00060045      2.67784229      0.01080346
 21603.46127160    462.88878779      2.67848914      0.01082965
 21608.67841487    462.77702912      2.67913598      0.01085376
 21613.89555814    462.66532440      2.67978282      0.01087580
 21619.11270141    462.55367360      2.68042967      0.01089579
 21624.32984468    462.44207667      2.68107651      0.01091374
 21629.54698796    462.33053358      2.68172335      0.01092967
 21634.76413123    462.21904428      2.68237020      0.01094361
 21639.98127450    462.10760874      2.68301704      0.01095557
 21645.19841777    461.99622692      2.68366389      0.01096559
 21650.41556104    461.88489878      2.68431073      0.01097370
 21655.63270431    461.77362428      2.68495757      0.01097993
 21660.84984759    461.66240339      2.68560442      0.01098431
 21666.06699086    461.55123605      2.68625126      0.01098690
 21671.28413413    461.44012224      2.68689810      0.01098771
 21676.50127740    461.32906192      2.68754495      0.01098681
 21681.71842067    461.21805504      2.68819179      0.01098422
 21686.93556395    461.10710158      2.68883863      0.01097999
 21692.15270722    460.99620148      2.68948548      0.01097418
 21697.36985049    460.88535472      2.69013232      0.01096681
 21702.58699376    460.77456125      2.69077917      0.01095794
 21707.80413703    460.66382103      2.69142601      0.01094761
 21713.02128031    460.55313403      2.69207285      0.01093587
 21718.23842358    460.44250021      2.69271970      0.01092276
 21723.45556685    460.33191953      2.69336654      0.01090833
 21728.67271012    460.22139196      2.69401338      0.01089261
 21733.88985339    460.11091744      2.69466023      0.01087565
 21739.10699667    460.00049595      2.69530707      0.01085750
 21744.32413994    459.89012745      2.69595392      0.01083818
 21749.54128321    459.77981190      2.69660076      0.01081774
 21754.75842648    459.66954925      2.69724760      0.01079621
 21759.97556975    459.55933948      2.69789445      0.01077362
 21765.19271303    459.44918255      2.69854129      0.01075001
 21770.40985630    459.33907841      2.69918813      0.01072541
 21775.62699957    459.22902703      2.69983498      0.01069985
 21780.84414284    459.11902837      2.70048182      0.01067335
 21786.06128611    459.00908240      2.70112866      0.01064594
 21791.27842938    458.89918907      2.70177551      0.01061764
 21796.49557266    458.78934835      2.70242235      0.01058846
 21801.71271593    458.67956019      2.70306920      0.01055844
 21806.92985920    458.56982457      2.70371604      0.01052758
 21812.14700247    458.46014145      2.70436288      0.01049590
 21817.36414574    458.35051078      2.70500973      0.01046342
 21822.58128902    458.24093253      2.70565657      0.01043015
 21827.79843229    458.13140666      2.70630341      0.01039609
 21833.01557556    458.02193313      2.70695026      0.01036127
 21838.23271883    457.91251191      2.70759710      0.01032568
 21843.44986210    457.80314296      2.70824394      0.01028934
 21848.66700538    457.69382624      2.70889079      0.01025226
 21853.88414865    457.58456172      2.70953763      0.01021445
 21859.10129192    457.47534935      2.71018448      0.01017590
 21864.31843519    457.36618910      2.71083132      0.01013664
 21869.53557846    457.25708093      2.71147816      0.01009666
 21874.75272174    457.14802481      2.71212501      0.01005598
 21879.96986501    457.03902070      2.71277185      0.01001461
 21885.18700828    456.93006855      2.71341869      0.00997255
 21890.40415155    456.82116834      2.71406554      0.00992982
 21895.62129482    456.71232003      2.71471238      0.00988642
 21900.83843809    456.60352357      2.71535922      0.00984238
 21906.05558137    456.49477894      2.71600607      0.00979770
 21911.27272464    456.38608609      2.71665291      0.00975241
 21916.48986791    456.27744499      2.71729976      0.00970651
 21921.70701118    456.16885560      2.71794660      0.00966003
 21926.92415445    456.06031788      2.71859344      0.00961299
 21932.14129773    455.95183180      2.71924029      0.00956542
 21937.35844100    455.84339732      2.71988713      0.00951733
 21942.57558427    455.73501441      2.72053397      0.00946876
 21947.79272754    455.62668302      2.72118082      0.00941973
 21953.00987081    455.51840312      2.72182766      0.00937028
 21958.22701409    455.41017467      2.72247450      0.00932044
 21963.44415736    455.30199764      2.72312135      0.00927025
 21968.66130063    455.19387200      2.72376819      0.00921974
 21973.87844390    455.08579769      2.72441504      0.00916896
 21979.09558717    454.97777469      2.72506188      0.00911794
 21984.31273045    454.86980296      2.72570872      0.00906674
 21989.52987372    454.76188247      2.72635557      0.00901541
 21994.74701699    454.65401317      2.72700241      0.00896398
 21999.96416026    454.54619504      2.72764925      0.00891251
 22005.18130353    454.43842803      2.72829610      0.00886106
 22010.39844680    454.33071210      2.72894294      0.00880968
 22015.61559008    454.22304723      2.72958978      0.00875842
 22020.83273335    454.11543338      2.73023663      0.00870736
 22026.04987662    454.00787050      2.73088347      0.00865653
 22031.26701989    453.90035857      2.73153032      0.00860602
 22036.48416316    453.79289754      2.73217716      0.00855587
 22041.70130644    453.68548738      2.73282400      0.00850616
 22046.91844971    453.57812806      2.73347085      0.00845695
