Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 22287.33613831    448.68528457      2.76327851      0.01512011
 22297.34114081    448.48395575      2.76451897      0.01545065
 22307.34614331    448.28280753      2.76575944      0.01579411
 22317.35114581    448.08183965      2.76699990      0.01615055
 22327.35614831    447.88105189      2.76824036      0.01651995
 22337.36115082    447.68044399      2.76948082      0.01690233
 22347.36615332    447.48001572      2.77072129      0.01729765
 22357.37115582    447.27976683      2.77196175      0.01770587
 22367.37615832    447.07969709      2.77320221      0.01812693
 22377.38116082    446.87980625      2.77444268      0.01856072
 22387.38616332    446.68009408      2.77568314      0.01900716
 22397.39116582    446.48056033      2.77692360      0.01946612
 22407.39616832    446.28120476      2.77816406      0.01993743
 22417.40117083    446.08202714      2.77940453      0.02042094
 22427.40617333    445.88302723      2.78064499      0.02091645
 22437.41117583    445.68420480      2.78188545      0.02142374
 22447.41617833    445.48555959      2.78312591      0.02194256
 22457.42118083    445.28709138      2.78436638      0.02247267
 22467.42618333    445.08879994      2.78560684      0.02301377
 22477.43118583    444.89068501      2.78684730      0.02356554
 22487.43618833    444.69274638      2.78808776      0.02412766
 22497.44119084    444.49498380      2.78932823      0.02469975
 22507.44619334    444.29739703      2.79056869      0.02528145
 22517.45119584    444.09998586      2.79180915      0.02587233
 22527.45619834    443.90275003      2.79304962      0.02647197
 22537.46120084    443.70568932      2.79429008      0.02707991
 22547.46620334    443.50880349      2.79553054      0.02769565
 22557.47120584    443.31209231      2.79677100      0.02831870
 22567.47620834    443.11555556      2.79801147      0.02894853
 22577.48121085    442.91919299      2.79925193      0.02958458
 22587.48621335    442.72300437      2.80049239      0.03022627
 22597.49121585    442.52698948      2.80173285      0.03087300
 22607.49621835    442.33114808      2.80297332      0.03152415
 22617.50122085    442.13547995      2.80421378      0.03217908
 22627.50622335    441.93998485      2.80545424      0.03283711
 22637.51122585    441.74466256      2.80669470      0.03349757
 22647.51622835    441.54951284      2.80793517      0.03415975
