Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 19742.30733265    506.52639477      2.44773504      0.00243695
 19752.31233515    506.26982745      2.44897550      0.00243481
 19762.31733765    506.01351991      2.45021597      0.00243201
 19772.32234016    505.75747176      2.45145643      0.00242858
 19782.32734266    505.50168261      2.45269689      0.00242457
 19792.33234516    505.24615206      2.45393735      0.00242001
 19802.33734766    504.99087971      2.45517782      0.00241494
 19812.34235016    504.73586519      2.45641828      0.00240942
 19822.34735266    504.48110810      2.45765874      0.00240351
 19832.35235516    504.22660804      2.45889920      0.00239724
 19842.35735766    503.97236464      2.46013967      0.00239069
 19852.36236017    503.71837750      2.46138013      0.00238391
 19862.36736267    503.46464623      2.46262059      0.00237698
 19872.37236517    503.21117045      2.46386105      0.00236995
 19882.37736767    502.95794978      2.46510152      0.00236291
 19892.38237017    502.70498382      2.46634198      0.00235591
 19902.38737267    502.45227220      2.46758244      0.00234904
 19912.39237517    502.19981453      2.46882291      0.00234236
 19922.39737767    501.94761042      2.47006337      0.00233596
 19932.40238018    501.69565950      2.47130383      0.00232992
 19942.40738268    501.44396139      2.47254429      0.00232431
 19952.41238518    501.19251570      2.47378476      0.00231920
 19962.41738768    500.94132205      2.47502522      0.00231469
 19972.42239018    500.69038008      2.47626568      0.00231085
 19982.42739268    500.43968939      2.47750614      0.00230775
 19992.43239518    500.18924961      2.47874661      0.00230548
 20002.43739768    499.93906036      2.47998707      0.00230412
 20012.44240019    499.68912128      2.48122753      0.00230375
 20022.44740269    499.43943198      2.48246799      0.00230444
 20032.45240519    499.18999208      2.48370846      0.00230627
 20042.45740769    498.94080123      2.48494892      0.00230933
 20052.46241019    498.69185904      2.48618938      0.00231369
 20062.46741269    498.44316513      2.48742985      0.00231943
 20072.47241519    498.19471915      2.48867031      0.00232662
 20082.47741769    497.94652072      2.48991077      0.00233535
 20092.48242020    497.69856947      2.49115123      0.00234569
 20102.48742270    497.45086503      2.49239170      0.00235772
 20112.49242520    497.20340703      2.49363216      0.00237152
 20122.49742770    496.95619510      2.49487262      0.00238716
 20132.50243020    496.70922888      2.49611308      0.00240473
 20142.50743270    496.46250801      2.49735355      0.00242431
 20152.51243520    496.21603211      2.49859401      0.00244596
 20162.51743770    495.96980082      2.49983447      0.00246977
 20172.52244021    495.72381378      2.50107493      0.00249582
 20182.52744271    495.47807062      2.50231540      0.00252419
 20192.53244521    495.23257099      2.50355586      0.00255496
 20202.53744771    494.98731451      2.50479632      0.00258819
 20212.54245021    494.74230084      2.50603679      0.00262398
 20222.54745271    494.49752960      2.50727725      0.00266239
 20232.55245521    494.25300044      2.50851771      0.00270351
 20242.55745771    494.00871300      2.50975817      0.00274740
 20252.56246022    493.76466693      2.51099864      0.00279415
 20262.56746272    493.52086185      2.51223910      0.00284382
 20272.57246522    493.27729743      2.51347956      0.00289648
 20282.57746772    493.03397330      2.51472002      0.00295221
 20292.58247022    492.79088910      2.51596049      0.00301106
 20302.58747272    492.54804448      2.51720095      0.00307310
 20312.59247522    492.30543909      2.51844141      0.00313839
 20322.59747772    492.06307257      2.51968187      0.00320698
 20332.60248023    491.82094458      2.52092234      0.00327893
 20342.60748273    491.57905475      2.52216280      0.00335428
 20352.61248523    491.33740275      2.52340326      0.00343308
 20362.61748773    491.09598821      2.52464373      0.00351537
 20372.62249023    490.85481078      2.52588419      0.00360118
 20382.62749273    490.61387013      2.52712465      0.00369053
 20392.63249523    490.37316589      2.52836511      0.00378346
 20402.63749773    490.13269773      2.52960558      0.00387999
 20412.64250024    489.89246529      2.53084604      0.00398012
 20422.64750274    489.65246823      2.53208650      0.00408386
 20432.65250524    489.41270621      2.53332696      0.00419121
 20442.65750774    489.17317887      2.53456743      0.00430217
 20452.66251024    488.93388587      2.53580789      0.00441673
 20462.66751274    488.69482688      2.53704835      0.00453486
 20472.67251524    488.45600154      2.53828881      0.00465655
 20482.67751774    488.21740951      2.53952928      0.00478175
 20492.68252025    487.97905046      2.54076974      0.00491045
 20502.68752275    487.74092404      2.54201020      0.00504258
 20512.69252525    487.50302991      2.54325067      0.00517810
 20522.69752775    487.26536773      2.54449113      0.00531696
 20532.70253025    487.02793716      2.54573159      0.00545908
 20542.70753275    486.79073786      2.54697205      0.00560439
 20552.71253525    486.55376951      2.54821252      0.00575282
 20562.71753775    486.31703175      2.54945298      0.00590427
 20572.72254026    486.08052425      2.55069344      0.00605866
 20582.72754276    485.84424668      2.55193390      0.00621588
 20592.73254526    485.60819870      2.55317437      0.00637582
 20602.73754776    485.37237998      2.55441483      0.00653837
 20612.74255026    485.13679018      2.55565529      0.00670340
 20622.74755276    484.90142897      2.55689575      0.00687077
 20632.75255526    484.66629602      2.55813622      0.00704035
 20642.75755776    484.43139099      2.55937668      0.00721198
 20652.76256027    484.19671356      2.56061714      0.00738551
 20662.76756277    483.96226339      2.56185761      0.00756075
 20672.77256527    483.72804016      2.56309807      0.00773755
 20682.77756777    483.49404353      2.56433853      0.00791571
 20692.78257027    483.26027317      2.56557899      0.00809504
 20702.78757277    483.02672876      2.56681946      0.00827534
 20712.79257527    482.79340998      2.56805992      0.00845638
 20722.79757777    482.56031649      2.56930038      0.00863795
 20732.80258028    482.32744796      2.57054084      0.00881983
 20742.80758278    482.09480408      2.57178131      0.00900176
 20752.81258528    481.86238451      2.57302177      0.00918351
 20762.81758778    481.63018893      2.57426223      0.00936481
 20772.82259028    481.39821703      2.57550269      0.00954542
 20782.82759278    481.16646847      2.57674316      0.00972506
 20792.83259528    480.93494293      2.57798362      0.00990345
 20802.83759778    480.70364010      2.57922408      0.01008033
 20812.84260029    480.47255964      2.58046455      0.01025541
 20822.84760279    480.24170125      2.58170501      0.01042841
 20832.85260529    480.01106459      2.58294547      0.01059903
 20842.85760779    479.78064936      2.58418593      0.01076699
 20852.86261029    479.55045523      2.58542640      0.01093201
 20862.86761279    479.32048188      2.58666686      0.01109381
 20872.87261529    479.09072900      2.58790732      0.01125208
 20882.87761779    478.86119627      2.58914778      0.01140657
 20892.88262030    478.63188337      2.59038825      0.01155700
 20902.88762280    478.40278999      2.59162871      0.01170311
 20912.89262530    478.17391581      2.59286917      0.01184463
 20922.89762780    477.94526052      2.59410963      0.01198132
 20932.90263030    477.71682381      2.59535010      0.01211295
 20942.90763280    477.48860535      2.59659056      0.01223930
 20952.91263530    477.26060484      2.59783102      0.01236014
 20962.91763780    477.03282197      2.59907149      0.01247530
 20972.92264031    476.80525643      2.60031195      0.01258458
 20982.92764281    476.57790790      2.60155241      0.01268783
 20992.93264531    476.35077607      2.60279287      0.01278489
 21002.93764781    476.12386064      2.60403334      0.01287565
 21012.94265031    475.89716129      2.60527380      0.01295999
 21022.94765281    475.67067772      2.60651426      0.01303781
 21032.95265531    475.44440961      2.60775472      0.01310905
 21042.95765781    475.21835667      2.60899519      0.01317365
